rank,full_name,ioc,points
1,Jannik Sinner,ITA,11830
2,Alexander Zverev,GER,7915
3,Carlos Alcaraz,ESP,7010
4,Taylor Fritz,USA,5100
5,Daniil Medvedev,RUS,5030
6,Casper Ruud,NOR,4255
7,Novak Djokovic,SRB,3910
8,Andrey Rublev,RUS,3760
9,Alex De Minaur,AUS,3745
10,Grigor Dimitrov,BUL,3350
11,Stefanos Tsitsipas,GRE,3165
12,Tommy Paul,USA,3145
13,Holger Rune,DEN,3025
14,Ugo Humbert,FRA,2765
15,Jack Draper,GBR,2685
16,Hubert Hurkacz,POL,2640
17,Lorenzo Musetti,ITA,2600
18,Frances Tiafoe,USA,2585
19,Karen Khachanov,RUS,2410
20,Arthur Fils,FRA,2355
21,Ben Shelton,USA,2330
22,Sebastian Korda,USA,1985
23,Alejandro Tabilo,CHI,1943
24,Alexei Popyrin,AUS,1865
25,Tomas Machac,CZE,1758
26,Jordan Thompson,AUS,1745
27,Sebastian Baez,ARG,1690
28,Jiri Lehecka,CZE,1660
29,Felix Auger Aliassime,CAN,1635
30,Francisco Cerundolo,ARG,1620
31,Giovanni Mpetshi Perricard,FRA,1561
32,Flavio Cobolli,ITA,1472
33,Alexander Bublik,KAZ,1420
34,Matteo Berrettini,ITA,1380
35,Nicolas Jarry,CHI,1370
36,Nuno Borges,POR,1355
37,Matteo Arnaldi,ITA,1345
38,Brandon Nakashima,USA,1335
39,Tomas Martin Etcheverry,ARG,1315
40,Tallon Griekspoor,NED,1280
41,Alex Michelsen,USA,1245
42,Jan Lennard Struff,GER,1240
43,Pedro Martinez,ESP,1205
44,Luciano Darderi,ITA,1198
45,Zhizhen Zhang,CHN,1155
46,Marcos Giron,USA,1150
47,Mariano Navone,ARG,1148
48,Jakub Mensik,CZE,1136
49,Cameron Norrie,GBR,1119
50,Juncheng Shang,CHN,1115
51,Roberto Bautista Agut,ESP,1104
52,David Goffin,BEL,1037
53,Lorenzo Sonego,ITA,1026
54,Miomir Kecmanovic,SRB,1021
55,Gael Monfils,FRA,1005
56,Denis Shapovalov,CAN,981
57,Roberto Carballes Baena,ESP,981
58,Fabian Marozsan,HUN,935
59,Arthur Rinderknech,FRA,927
60,Roman Safiullin,RUS,923
61,Alejandro Davidovich Fokina,ESP,845
62,Jaume Munar,ESP,832
63,Arthur Cazaux,FRA,807
64,Christopher Oconnell,AUS,795
65,Bu Yunchaokete,CHN,784
66,Adrian Mannarino,FRA,779
67,Alexandre Muller,FRA,778
68,Aleksandar Vukic,AUS,778
69,Yoshihito Nishioka,JPN,776
70,Corentin Moutet,FRA,772
71,Zizou Bergs,BEL,768
72,Quentin Halys,FRA,756
73,Rinky Hijikata,AUS,746
74,Thiago Seyboth Wild,BRA,732
75,Benjamin Bonzi,FRA,730
76,Hugo Gaston,FRA,717
77,Thanasi Kokkinakis,AUS,716
78,Alexander Shevchenko,KAZ,715
79,Facundo Diaz Acosta,ARG,714
80,Botic Van De Zandschulp,NED,712
81,Dusan Lajovic,SRB,710
82,James Duckworth,AUS,687
83,Damir Dzumhur,BIH,679
84,Taro Daniel,JPN,674
85,Francisco Comesana,ARG,661
86,Pavel Kotov,RUS,655
87,Gabriel Diallo,CAN,643
88,Sebastian Ofner,AUT,643
89,Daniel Altmaier,GER,640
90,Borna Coric,CRO,639
91,Fabio Fognini,ITA,637
92,Luca Nardi,ITA,637
93,Adam Walton,AUS,636
94,Otto Virtanen,FIN,634
95,Emil Ruusuvuori,FIN,628
96,Yannick Hanfmann,GER,627
97,Camilo Ugo Carabelli,ARG,624
98,Sumit Nagal,IND,622
99,Jacob Fearnley,GBR,622
100,Federico Coria,ARG,617
